Notes,Age,Age Code,Vaccine Type,Vaccine Type Code,Sex,Sex Code,Events Reported,Percent
,18-29 years,18-29,"JAPANESE ENCEPHALITIS VIRUS VACCINE, INACTIVATED, ADSORBED",JEV1,Female,F,69,0.01%
,18-29 years,18-29,"JAPANESE ENCEPHALITIS VIRUS VACCINE, INACTIVATED, ADSORBED",JEV1,Male,M,98,0.01%
Total,18-29 years,18-29,"JAPANESE ENCEPHALITIS VIRUS VACCINE, INACTIVATED, ADSORBED",JEV1,,,167,0.02%
,18-29 years,18-29,LYME VACCINE (LYMERIX),LYME,Female,F,58,0.01%
,18-29 years,18-29,LYME VACCINE (LYMERIX),LYME,Male,M,61,0.01%
,18-29 years,18-29,LYME VACCINE (LYMERIX),LYME,Unknown,U,1,0.00%
Total,18-29 years,18-29,LYME VACCINE (LYMERIX),LYME,,,120,0.02%
,18-29 years,18-29,"MEASLES AND MUMPS VIRUS VACCINE, LIVE",MM,Female,F,4,0.00%
Total,18-29 years,18-29,"MEASLES AND MUMPS VIRUS VACCINE, LIVE",MM,,,4,0.00%
,18-29 years,18-29,MEASLES AND RUBELLA VACCINE,MER,Female,F,29,0.00%
,18-29 years,18-29,MEASLES AND RUBELLA VACCINE,MER,Male,M,13,0.00%
Total,18-29 years,18-29,MEASLES AND RUBELLA VACCINE,MER,,,42,0.01%
,18-29 years,18-29,MEASLES VACCINE,MEA,Female,F,119,0.02%
,18-29 years,18-29,MEASLES VACCINE,MEA,Male,M,21,0.00%
Total,18-29 years,18-29,MEASLES VACCINE,MEA,,,140,0.02%
,18-29 years,18-29,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Female,F,2522,0.37%
,18-29 years,18-29,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Male,M,901,0.13%
,18-29 years,18-29,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,Unknown,U,83,0.01%
Total,18-29 years,18-29,"MEASLES, MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MMR,,,3506,0.52%
,18-29 years,18-29,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Female,F,80,0.01%
,18-29 years,18-29,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Male,M,29,0.00%
,18-29 years,18-29,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,Unknown,U,62,0.01%
Total,18-29 years,18-29,"MEASLES, MUMPS, RUBELLA, AND VARICELLA VACCINE (PROQUAD)",MMRV,,,171,0.03%
,18-29 years,18-29,MENINGICOCCAL GROUP C & Y + HIB,MNQHIB,Male,M,2,0.00%
Total,18-29 years,18-29,MENINGICOCCAL GROUP C & Y + HIB,MNQHIB,,,2,0.00%
,18-29 years,18-29,MENINGOCOCCAL B VACCINE,MENB,Female,F,1122,0.17%
,18-29 years,18-29,MENINGOCOCCAL B VACCINE,MENB,Male,M,537,0.08%
,18-29 years,18-29,MENINGOCOCCAL B VACCINE,MENB,Unknown,U,19,0.00%
Total,18-29 years,18-29,MENINGOCOCCAL B VACCINE,MENB,,,1678,0.25%
,18-29 years,18-29,MENINGOCOCCAL GROUPS C AND Y + HAEMOPHILUS B TETANUS TOXOID CONJUGATE VACCINE,MENHIB,Female,F,1,0.00%
Total,18-29 years,18-29,MENINGOCOCCAL GROUPS C AND Y + HAEMOPHILUS B TETANUS TOXOID CONJUGATE VACCINE,MENHIB,,,1,0.00%
,18-29 years,18-29,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Female,F,485,0.07%
,18-29 years,18-29,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Male,M,334,0.05%
,18-29 years,18-29,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,Unknown,U,8,0.00%
Total,18-29 years,18-29,MENINGOCOCCAL POLYSACCHARIDE VACCINE,MEN,,,827,0.12%
,18-29 years,18-29,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Female,F,2038,0.30%
,18-29 years,18-29,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Male,M,1340,0.20%
,18-29 years,18-29,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,Unknown,U,46,0.01%
Total,18-29 years,18-29,MENINGOCOCCAL VACCINE (MENACTRA),MNQ,,,3424,0.50%
,18-29 years,18-29,"MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MUR,Female,F,2,0.00%
,18-29 years,18-29,"MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MUR,Male,M,1,0.00%
Total,18-29 years,18-29,"MUMPS AND RUBELLA VIRUS VACCINE, LIVE",MUR,,,3,0.00%
,18-29 years,18-29,"MUMPS VIRUS VACCINE, LIVE",MU,Female,F,15,0.00%
,18-29 years,18-29,"MUMPS VIRUS VACCINE, LIVE",MU,Male,M,5,0.00%
Total,18-29 years,18-29,"MUMPS VIRUS VACCINE, LIVE",MU,,,20,0.00%
,18-29 years,18-29,"PERTUSSIS, ADSORBED VACCINE",PER,Female,F,6,0.00%
Total,18-29 years,18-29,"PERTUSSIS, ADSORBED VACCINE",PER,,,6,0.00%
,18-29 years,18-29,PLAGUE VACCINE,PLAGUE,Female,F,3,0.00%
,18-29 years,18-29,PLAGUE VACCINE,PLAGUE,Male,M,13,0.00%
Total,18-29 years,18-29,PLAGUE VACCINE,PLAGUE,,,16,0.00%
,18-29 years,18-29,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Female,F,1568,0.23%
,18-29 years,18-29,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Male,M,637,0.09%
,18-29 years,18-29,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,Unknown,U,28,0.00%
Total,18-29 years,18-29,"PNEUMOCOCCAL VACCINE, POLYVALENT",PPV,,,2233,0.33%
,18-29 years,18-29,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Female,F,39,0.01%
,18-29 years,18-29,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Male,M,25,0.00%
,18-29 years,18-29,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,Unknown,U,1,0.00%
Total,18-29 years,18-29,"PNEUMOCOCCAL, 13-VALENT VACCINE (PREVNAR)",PNC13,,,65,0.01%
,18-29 years,18-29,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Female,F,15,0.00%
,18-29 years,18-29,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Male,M,6,0.00%
,18-29 years,18-29,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,Unknown,U,3,0.00%
Total,18-29 years,18-29,"PNEUMOCOCCAL, 7-VALENT VACCINE (PREVNAR)",PNC,,,24,0.00%
,18-29 years,18-29,POLIOVIRUS VACCINE INACTIVATED,IPV,Female,F,339,0.05%
,18-29 years,18-29,POLIOVIRUS VACCINE INACTIVATED,IPV,Male,M,234,0.03%
,18-29 years,18-29,POLIOVIRUS VACCINE INACTIVATED,IPV,Unknown,U,8,0.00%
Total,18-29 years,18-29,POLIOVIRUS VACCINE INACTIVATED,IPV,,,581,0.09%
,18-29 years,18-29,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Female,F,37,0.01%
,18-29 years,18-29,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,Male,M,44,0.01%
Total,18-29 years,18-29,"POLIOVIRUS VACCINE TRIVALENT, LIVE, ORAL",OPV,,,81,0.01%
,18-29 years,18-29,RABIES VIRUS VACCINE,RAB,Female,F,788,0.12%
,18-29 years,18-29,RABIES VIRUS VACCINE,RAB,Male,M,329,0.05%
,18-29 years,18-29,RABIES VIRUS VACCINE,RAB,Unknown,U,7,0.00%
Total,18-29 years,18-29,RABIES VIRUS VACCINE,RAB,,,1124,0.17%
,18-29 years,18-29,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,Female,F,1,0.00%
,18-29 years,18-29,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,Male,M,1,0.00%
Total,18-29 years,18-29,"ROTAVIRUS VACCINE, LIVE, ORAL ",RV1,,,2,0.00%
,18-29 years,18-29,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Female,F,4,0.00%
,18-29 years,18-29,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,Male,M,3,0.00%
Total,18-29 years,18-29,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT",RV5,,,7,0.00%
,18-29 years,18-29,RUBELLA VACCINE,RUB,Female,F,150,0.02%
,18-29 years,18-29,RUBELLA VACCINE,RUB,Male,M,10,0.00%
,18-29 years,18-29,RUBELLA VACCINE,RUB,Unknown,U,1,0.00%
Total,18-29 years,18-29,RUBELLA VACCINE,RUB,,,161,0.02%
,18-29 years,18-29,SMALLPOX VACCINE,SMALL,Female,F,764,0.11%
,18-29 years,18-29,SMALLPOX VACCINE,SMALL,Male,M,2479,0.37%
,18-29 years,18-29,SMALLPOX VACCINE,SMALL,Unknown,U,18,0.00%
Total,18-29 years,18-29,SMALLPOX VACCINE,SMALL,,,3261,0.48%
,18-29 years,18-29,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Female,F,3539,0.52%
,18-29 years,18-29,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Male,M,1310,0.19%
,18-29 years,18-29,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,Unknown,U,39,0.01%
Total,18-29 years,18-29,TETANUS AND DIPHTHERIA TOXOIDS AND ACELLULAR PERTUSSIS VACCINE (BOOSTRIX/ADACEL),TDAP,,,4888,0.72%
,18-29 years,18-29,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Female,F,1936,0.29%
,18-29 years,18-29,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Male,M,797,0.12%
,18-29 years,18-29,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,Unknown,U,30,0.00%
Total,18-29 years,18-29,"TETANUS AND DIPHTHERIA TOXOIDS, ADULT",TD,,,2763,0.41%
,18-29 years,18-29,TETANUS TOXOID,TTOX,Female,F,315,0.05%
,18-29 years,18-29,TETANUS TOXOID,TTOX,Male,M,211,0.03%
,18-29 years,18-29,TETANUS TOXOID,TTOX,Unknown,U,5,0.00%
Total,18-29 years,18-29,TETANUS TOXOID,TTOX,,,531,0.08%
,18-29 years,18-29,TETRAMUNE,DTAPH,Female,F,1,0.00%
,18-29 years,18-29,TETRAMUNE,DTAPH,Male,M,2,0.00%
Total,18-29 years,18-29,TETRAMUNE,DTAPH,,,3,0.00%
,18-29 years,18-29,TICK-BORNE ENCEPHALITIS VACCINE (TBE),TBE,Female,F,2,0.00%
,18-29 years,18-29,TICK-BORNE ENCEPHALITIS VACCINE (TBE),TBE,Male,M,1,0.00%
Total,18-29 years,18-29,TICK-BORNE ENCEPHALITIS VACCINE (TBE),TBE,,,3,0.00%
,18-29 years,18-29,TYPHOID VACCINE,TYP,Female,F,1055,0.16%
,18-29 years,18-29,TYPHOID VACCINE,TYP,Male,M,1382,0.20%
,18-29 years,18-29,TYPHOID VACCINE,TYP,Unknown,U,27,0.00%
Total,18-29 years,18-29,TYPHOID VACCINE,TYP,,,2464,0.36%
,18-29 years,18-29,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Female,F,3347,0.49%
,18-29 years,18-29,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Male,M,820,0.12%
,18-29 years,18-29,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,Unknown,U,94,0.01%
Total,18-29 years,18-29,VARIVAX-VARICELLA VIRUS LIVE,VARCEL,,,4261,0.63%
,18-29 years,18-29,YELLOW FEVER VACCINE,YF,Female,F,580,0.09%
,18-29 years,18-29,YELLOW FEVER VACCINE,YF,Male,M,507,0.07%
,18-29 years,18-29,YELLOW FEVER VACCINE,YF,Unknown,U,13,0.00%
Total,18-29 years,18-29,YELLOW FEVER VACCINE,YF,,,1100,0.16%
,18-29 years,18-29,ZOSTER VACCINE,VARZOS,Female,F,110,0.02%
,18-29 years,18-29,ZOSTER VACCINE,VARZOS,Male,M,29,0.00%
,18-29 years,18-29,ZOSTER VACCINE,VARZOS,Unknown,U,28,0.00%
Total,18-29 years,18-29,ZOSTER VACCINE,VARZOS,,,167,0.02%
,18-29 years,18-29,UNKNOWN VACCINES,UNK,Female,F,362,0.05%
,18-29 years,18-29,UNKNOWN VACCINES,UNK,Male,M,131,0.02%
,18-29 years,18-29,UNKNOWN VACCINES,UNK,Unknown,U,11,0.00%
Total,18-29 years,18-29,UNKNOWN VACCINES,UNK,,,504,0.07%
Total,18-29 years,18-29,,,,,73997,10.91%
,30-39 years,30-39,"ADENOVIRUS TYPE 4 &7 VACCINE, LIVE ORAL",ADEN_4_7,Female,F,1,0.00%
,30-39 years,30-39,"ADENOVIRUS TYPE 4 &7 VACCINE, LIVE ORAL",ADEN_4_7,Male,M,1,0.00%
Total,30-39 years,30-39,"ADENOVIRUS TYPE 4 &7 VACCINE, LIVE ORAL",ADEN_4_7,,,2,0.00%
,30-39 years,30-39,ADENOVIRUS VACCINE LIVE ORAL TYPE 7,ADEN,Male,M,1,0.00%
Total,30-39 years,30-39,ADENOVIRUS VACCINE LIVE ORAL TYPE 7,ADEN,,,1,0.00%
,30-39 years,30-39,ANTHRAX VACCINE,ANTH,Female,F,641,0.09%
,30-39 years,30-39,ANTHRAX VACCINE,ANTH,Male,M,2124,0.31%
,30-39 years,30-39,ANTHRAX VACCINE,ANTH,Unknown,U,38,0.01%
Total,30-39 years,30-39,ANTHRAX VACCINE,ANTH,,,2803,0.41%
,30-39 years,30-39,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Female,F,1,0.00%
,30-39 years,30-39,BACILLUS CALMETTE-GUERIN VACCINE,BCG,Male,M,3,0.00%
Total,30-39 years,30-39,BACILLUS CALMETTE-GUERIN VACCINE,BCG,,,4,0.00%
,30-39 years,30-39,CHOLERA VACCINE,CHOL,Female,F,13,0.00%
,30-39 years,30-39,CHOLERA VACCINE,CHOL,Male,M,10,0.00%
Total,30-39 years,30-39,CHOLERA VACCINE,CHOL,,,23,0.00%
,30-39 years,30-39,COMVAX,HBHEPB,Female,F,5,0.00%
,30-39 years,30-39,COMVAX,HBHEPB,Male,M,1,0.00%
Total,30-39 years,30-39,COMVAX,HBHEPB,,,6,0.00%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Female,F,330,0.05%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Male,M,104,0.02%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,Unknown,U,3,0.00%
Total,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE,DTAP,,,437,0.06%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Female,F,2,0.00%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,Male,M,3,0.00%
Total,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE  + INACTIVATED POLIOVIRUS VACCINE    ,DTAPIPV,,,5,0.00%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Female,F,3,0.00%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Male,M,4,0.00%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,Unknown,U,1,0.00%
Total,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND ACELLULAR PERTUSSIS VACCINE + HEPATITIS B + INACTIVATED POLIOVIRUS VACCINE ,DTAPHEPBIP,,,8,0.00%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Female,F,46,0.01%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Male,M,21,0.00%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,Unknown,U,1,0.00%
Total,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS AND PERTUSSIS VACCINE,DTP,,,68,0.01%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Female,F,3,0.00%
,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,Male,M,1,0.00%
Total,30-39 years,30-39,DIPHTHERIA AND TETANUS TOXOIDS PERTUSSIS AND HAEMOPHILUS INFLUENZA B VACCINE (HEXAVAX),DTPHIB,,,4,0.00%
,30-39 years,30-39,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Female,F,128,0.02%
,30-39 years,30-39,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Male,M,43,0.01%
,30-39 years,30-39,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,Unknown,U,2,0.00%
Total,30-39 years,30-39,"DIPHTHERIA AND TETANUS TOXOIDS, PEDIATRIC",DT,,,173,0.03%
,30-39 years,30-39,DIPHTHERIA TOXOID,DTOX,Female,F,7,0.00%
,30-39 years,30-39,DIPHTHERIA TOXOID,DTOX,Male,M,2,0.00%
Total,30-39 years,30-39,DIPHTHERIA TOXOID,DTOX,,,9,0.00%
,30-39 years,30-39,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Female,F,6,0.00%
,30-39 years,30-39,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Male,M,4,0.00%
,30-39 years,30-39,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,Unknown,U,1,0.00%
Total,30-39 years,30-39,DIPHTHERIA/PERTUSSIS/POLIO (ORAL [LIVE] OR INACTIVATED NOT NOTED),DPP,,,11,0.00%
,30-39 years,30-39,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,Female,F,1,0.00%
Total,30-39 years,30-39,DIPHTHERIA/TETANUS/PERTUSSIS/HEPATITIS B,DTPHEP,,,1,0.00%
,30-39 years,30-39,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,Female,F,2,0.00%
Total,30-39 years,30-39,DT-IPV COMBINED DT AND IPV VACCINE,DTIPV,,,2,0.00%
,30-39 years,30-39,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Female,F,37,0.01%
,30-39 years,30-39,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Male,M,12,0.00%
,30-39 years,30-39,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,Unknown,U,1,0.00%
Total,30-39 years,30-39,HAEMOPHILUS B CONJUGATE VACCINE,HIBV,,,50,0.01%
,30-39 years,30-39,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,Male,M,2,0.00%
Total,30-39 years,30-39,HAEMOPHILUS B POLYSACCHARIDE VACCINE,HBPV,,,2,0.00%
,30-39 years,30-39,HEPATITIS A,HEPA,Female,F,618,0.09%
,30-39 years,30-39,HEPATITIS A,HEPA,Male,M,479,0.07%
,30-39 years,30-39,HEPATITIS A,HEPA,Unknown,U,21,0.00%
Total,30-39 years,30-39,HEPATITIS A,HEPA,,,1118,0.16%
,30-39 years,30-39,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Female,F,317,0.05%
,30-39 years,30-39,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Male,M,206,0.03%
,30-39 years,30-39,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,Unknown,U,1,0.00%
Total,30-39 years,30-39,HEPATITIS A AND HEPATITIS B VACCINE,HEPAB,,,524,0.08%
,30-39 years,30-39,HEPATITIS A AND TYPHOID VACCINES,HEPATYP,Female,F,1,0.00%
Total,30-39 years,30-39,HEPATITIS A AND TYPHOID VACCINES,HEPATYP,,,1,0.00%
,30-39 years,30-39,HEPATITIS B VACCINE,HEP,Female,F,4852,0.72%
,30-39 years,30-39,HEPATITIS B VACCINE,HEP,Male,M,1506,0.22%
,30-39 years,30-39,HEPATITIS B VACCINE,HEP,Unknown,U,74,0.01%
Total,30-39 years,30-39,HEPATITIS B VACCINE,HEP,,,6432,0.95%
,30-39 years,30-39,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Female,F,232,0.03%
,30-39 years,30-39,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Male,M,24,0.00%
,30-39 years,30-39,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,Unknown,U,9,0.00%
Total,30-39 years,30-39,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11, 16, 18) RECOMBINANT VACCINE",HPV4,,,265,0.04%
,30-39 years,30-39,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Female,F,71,0.01%
,30-39 years,30-39,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Male,M,14,0.00%
,30-39 years,30-39,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,Unknown,U,8,0.00%
Total,30-39 years,30-39,"HUMAN PAPILLOMAVIRUS (TYPES 6, 11,16, 18, 31, 33, 45, 52, 58) RECOMBINANT VACCINE",HPV9,,,93,0.01%
,30-39 years,30-39,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Female,F,5,0.00%
,30-39 years,30-39,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,Male,M,1,0.00%
Total,30-39 years,30-39,HUMAN PAPILLOMAVIRUS VACCINE,HPVX,,,6,0.00%
,30-39 years,30-39,HUMAN PAPILLOVAVIRUS BIVALENT,HPV2,Unknown,U,1,0.00%
Total,30-39 years,30-39,HUMAN PAPILLOVAVIRUS BIVALENT,HPV2,,,1,0.00%
,30-39 years,30-39,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Female,F,807,0.12%
,30-39 years,30-39,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Male,M,212,0.03%
,30-39 years,30-39,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),Unknown,U,2,0.00%
Total,30-39 years,30-39,INFLUENZA (H1N1) MONOVALENT (INJECTED),FLU(H1N1),,,1021,0.15%
,30-39 years,30-39,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Female,F,239,0.04%
,30-39 years,30-39,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),Male,M,63,0.01%
Total,30-39 years,30-39,"INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)",FLUN(H1N1),,,302,0.04%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Female,F,1584,0.23%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Male,M,491,0.07%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),Unknown,U,12,0.00%
Total,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, NO BRAND NAME",FLUX(SEASONAL),,,2087,0.31%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Female,F,2136,0.31%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Male,M,491,0.07%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),Unknown,U,24,0.00%
Total,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)",FLU4(SEASONAL),,,2651,0.39%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Female,F,116,0.02%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Male,M,42,0.01%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),Unknown,U,3,0.00%
Total,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY)",FLUN4(SEASONAL),,,161,0.02%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Female,F,372,0.05%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Male,M,124,0.02%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),Unknown,U,3,0.00%
Total,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)",FLUC4(SEASONAL),,,499,0.07%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Female,F,55,0.01%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Male,M,5,0.00%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),Unknown,U,2,0.00%
Total,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED)",FLUR4(SEASONAL),,,62,0.01%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Female,F,6519,0.96%
,30-39 years,30-39,"INFLUENZA VIRUS VACCINE, TRIVALENT (INJECTED)",FLU3(SEASONAL),Male,M,1980,0.29%
